Line,Year,Rolling_Stock,Line_Type,Carriages_per_Train,Total_Vent_m3s,Vent_per_Carriage_m3s,Mean_Respirable_Dust_mg_m3,Data_Source
Northern,2021,1995TS,Deep-Level,6,7.102,1.18,0.37,Driver Cab
Bakerloo,2021,1972TS,Deep-Level,7,7.553,1.08,0.35,Driver Cab
Victoria,2021,2009TS,Deep-Level,8,9.068,1.13,0.31,Driver Cab
Piccadilly,2021,1973TS,Deep-Level,6,7.079,1.18,0.26,Driver Cab
Central,2021,1992TS,Deep-Level,8,9.284,1.16,0.23,Driver Cab
Jubilee,2021,1996TS,Deep-Level,7,9.042,1.29,0.12,Driver Cab
Circle/H&C,2021,S7,Sub-Surface,7,9.742,1.39,0.05,Driver Cab
District,2021,S7,Sub-Surface,7,9.742,1.39,0.04,Driver Cab
Northern,2023,1995TS,Deep-Level,6,7.102,1.18,0.3,Driver Cab
Piccadilly,2023,1973TS,Deep-Level,6,7.079,1.18,0.28,Driver Cab
Bakerloo,2023,1972TS,Deep-Level,7,7.553,1.08,0.25,Driver Cab
Central,2023,1992TS,Deep-Level,8,9.284,1.16,0.19,Driver Cab
Victoria,2023,2009TS,Deep-Level,8,9.068,1.13,0.19,Driver Cab
Circle/H&C,2023,S7,Sub-Surface,7,9.742,1.39,0.18,Driver Cab
District,2023,S7,Sub-Surface,7,9.742,1.39,0.18,Driver Cab
Jubilee,2023,1996TS,Deep-Level,7,9.042,1.29,0.13,Driver Cab
Victoria,2024,2009TS,Deep-Level,8,9.068,1.13,0.43,Driver Cab
Bakerloo,2024,1972TS,Deep-Level,7,7.553,1.08,0.31,Driver Cab
Jubilee,2024,1996TS,Deep-Level,7,9.042,1.29,0.31,Driver Cab
Northern,2024,1995TS,Deep-Level,6,7.102,1.18,0.28,Driver Cab
Central,2024,1992TS,Deep-Level,8,9.284,1.16,0.27,Driver Cab
Piccadilly,2024,1973TS,Deep-Level,6,7.079,1.18,0.26,Driver Cab
Circle/H&C,2024,S7,Sub-Surface,7,9.742,1.39,0.06,Driver Cab
District,2024,S7,Sub-Surface,7,9.742,1.39,0.05,Driver Cab
